,Referee_season_fouls,Season_season_fouls,Games_season_fouls,Total fouls_season_fouls,Shooting_season_fouls,Personal_season_fouls,Loose ball_season_fouls,Personal take_season_fouls,Offensive charge_season_fouls,Offensive_season_fouls,Kicked ball_season_fouls,Technical_season_fouls,Defensive goaltending_season_fouls,Shooting block_season_fouls,Defensive 3 seconds_season_fouls,Delay of game_season_fouls,Personal block_season_fouls,Flagrant 1_season_fouls,Away from play_season_fouls,Double technical_season_fouls,Clear path_season_fouls,Double personal_season_fouls,Inbound foul_season_fouls,Delay technical_season_fouls,Lane violation_season_fouls,Jump ball violation_season_fouls,Flagrant 2_season_fouls,Hanging technical_season_fouls,Unsportsmanlike technical_season_fouls,Taunting technical_season_fouls,Excess timeout technical_season_fouls,Double lane_season_fouls,Too many players technical_season_fouls,Regular Season_season_fouls,Playoffs_season_fouls,Regular Season # Games_season_fouls,Playoffs # Games_season_fouls,Total fouls_z-score,Shooting_z-score,Personal_z-score,Loose ball_z-score,Personal take_z-score,Offensive charge_z-score,Offensive_z-score,Kicked ball_z-score,Technical_z-score,Defensive goaltending_z-score,Shooting block_z-score,Defensive 3 seconds_z-score,Delay of game_z-score,Personal block_z-score,Flagrant 1_z-score,Away from play_z-score,Double technical_z-score,Clear path_z-score,Double personal_z-score,Inbound foul_z-score,Delay technical_z-score,Lane violation_z-score,other_fouls_z-score,Total fouls_avg_per_game,Shooting_avg_per_game,Personal_avg_per_game,Loose ball_avg_per_game,Personal take_avg_per_game,Offensive charge_avg_per_game,Offensive_avg_per_game,Kicked ball_avg_per_game,Technical_avg_per_game,Defensive goaltending_avg_per_game,Shooting block_avg_per_game,Defensive 3 seconds_avg_per_game,Delay of game_avg_per_game,Personal block_avg_per_game,Flagrant 1_avg_per_game,Away from play_avg_per_game,Double technical_avg_per_game,Clear path_avg_per_game,Double personal_avg_per_game,Inbound foul_avg_per_game,Delay technical_avg_per_game,Lane violation_avg_per_game,other_fouls_avg_per_game,component_1,component_2,y
0,Aaron Smith,4,215,2531,1213,798,150,96,60,22,48,56,21,10,8,23,7,6,4,3,3,1,0,0,0,0,1,1,0,0,0,0,0,4,0,215.0,0.0,-1.2364834850905508,-0.8961643150918582,-1.0267521587031685,-0.38920970599858234,0.6549130263720518,-1.0628596264424044,-1.0858003187386727,-0.25664261812068584,0.4387857321846227,-0.7900759537968782,-0.8308728352257074,-0.8958137437366208,-0.027175580437181306,-0.8872532487060408,-0.18642132140991555,-0.4943007501872606,-0.35209567542333314,0.16717701206649146,-0.3259733006577945,-0.8611481709855304,-0.8383664271519197,-0.7685073747299496,0.0752908767840685,11.772093023255813,5.641860465116279,3.7116279069767444,0.6976744186046512,0.44651162790697674,0.27906976744186046,0.10232558139534884,0.22325581395348837,0.26046511627906976,0.09767441860465116,0.046511627906976744,0.037209302325581395,0.10697674418604651,0.03255813953488372,0.027906976744186046,0.018604651162790697,0.013953488372093023,0.013953488372093023,0.004651162790697674,0.0,0.0,0.0,0.009302325581395349,-4.531781456536043,-0.8814274759600624,2
1,Andy Nagy,1,13,137,64,45,7,6,3,2,2,2,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.0,0.0,-2.0677381904677543,-2.0172945135708256,-1.4033883150738051,-1.1302090279139287,0.8314901253766448,-1.6115404847188584,-0.7944872889973406,-1.2125347258020858,-0.55550189709661,1.6348167915095224,-1.3991549670187562,-1.338861169213224,-0.6439418719389502,-1.3866227639976907,1.5447017391465698,2.1920457482836464,-0.9229316841551662,-1.335945748065926,-0.6921830684635563,-0.8611481709855304,-0.8383664271519197,-0.7685073747299496,-0.8936194566915441,10.538461538461538,4.923076923076923,3.4615384615384617,0.5384615384615384,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.622189736616101,-1.9381673932333856,2
2,Ashley Moyer-Gleich,2,61,688,363,207,37,23,19,7,10,11,3,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,61.0,0.0,-1.5689529593424163,-0.41426193861324123,-1.5059410432208795,-0.8132813385627712,-0.16132529662224576,-0.6947404106588695,-1.0155256932808079,-1.073601615677698,-0.3085435603046216,-1.6736037705690145,-1.3991549670187562,-1.1436660944643107,-0.8768542009896768,-1.3866227639976907,0.564898929952819,-1.3512947251595746,-0.9229316841551662,-1.335945748065926,-0.6921830684635563,-0.8611481709855304,-0.8383664271519197,-0.7685073747299496,-0.8936194566915441,11.278688524590164,5.950819672131147,3.3934426229508197,0.6065573770491803,0.3770491803278688,0.3114754098360656,0.11475409836065574,0.16393442622950818,0.18032786885245902,0.04918032786885246,0.0,0.01639344262295082,0.06557377049180328,0.0,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.193913848967264,0.049290990998173176,2
3,Ben Taylor,4,239,3596,1551,1208,274,103,70,87,59,66,44,24,28,21,26,6,10,2,5,3,3,1,4,0,1,0,0,0,0,0,0,4,2,232.0,7.0,0.9695816820599664,0.4260123739278656,0.9954603249069829,1.6994253062131845,0.47219671561685156,-0.905899318929878,0.39388128406560424,0.06845470849856104,0.5850628063977698,0.7845442475885362,-0.17223622222706922,0.05608940681666657,-0.4193671762387148,0.28192211973232867,-0.2853939986038727,0.5760452813158176,-0.580589307928265,0.9176901893711015,0.29612362707919,0.6241244759114873,-0.2550161539508405,1.8764216596875982,-0.4578125075341033,15.04602510460251,6.489539748953975,5.054393305439331,1.1464435146443515,0.4309623430962343,0.2928870292887029,0.36401673640167365,0.24686192468619247,0.27615062761506276,0.18410041841004185,0.100418410041841,0.11715481171548117,0.08786610878661087,0.1087866108786611,0.02510460251046025,0.04184100418410042,0.008368200836820083,0.02092050209205021,0.012552301255230125,0.012552301255230125,0.0041841004184100415,0.016736401673640166,0.0041841004184100415,1.5338503208466514,-1.9385320670064667,0
4,Bennie Adams,3,127,2005,799,664,125,50,59,89,28,43,10,38,21,19,30,8,7,2,3,2,3,1,2,0,0,1,0,1,0,0,0,3,2,121.0,6.0,1.4691414670576686,0.11686601777143135,1.2574347803338815,0.944562850346434,0.03434416661575439,1.0443372888806126,2.2980853356270527,-0.2949745201577515,1.167280201146714,-1.1350447147232248,2.2566442587680227,0.629996238293531,0.8476751435040234,2.236474394192569,1.0526962483452698,1.1876342754965916,-0.27868107062580083,1.2087108931031272,0.5477397674142199,1.9339712196316918,0.2594344806831822,1.720225063166877,0.7466618165152016,15.78740157480315,6.291338582677166,5.228346456692913,0.984251968503937,0.3937007874015748,0.4645669291338583,0.7007874015748031,0.2204724409448819,0.33858267716535434,0.07874015748031496,0.2992125984251969,0.16535433070866143,0.14960629921259844,0.23622047244094488,0.06299212598425197,0.05511811023622047,0.015748031496062992,0.023622047244094488,0.015748031496062992,0.023622047244094488,0.007874015748031496,0.015748031496062992,0.015748031496062992,5.354106238312307,-1.5211253093117991,0
5,Bill Kennedy,3,182,2366,1047,742,139,47,68,89,37,37,38,22,37,17,17,9,6,4,2,3,1,0,2,1,0,0,1,0,0,0,0,3,3,158.0,24.0,-0.4090861101327302,-0.7232074804477483,-0.47661551255950674,-0.0817485106292135,-1.5574058313946715,0.011277503516791599,1.1006369099399458,-0.5315143913530767,-0.09434500288299903,1.2343928742738264,0.07775408978405751,1.081772257755442,-0.3056644416509902,0.04602682657607696,0.5744424638086022,0.16727976345894882,-0.02381269604275507,-0.15216775015944328,0.6056482515074129,-0.21100135302145118,-0.8383664271519197,0.968135590176078,-0.3213235179628168,13.0,5.752747252747253,4.076923076923077,0.7637362637362637,0.25824175824175827,0.37362637362637363,0.489010989010989,0.2032967032967033,0.2032967032967033,0.2087912087912088,0.12087912087912088,0.2032967032967033,0.09340659340659341,0.09340659340659341,0.04945054945054945,0.03296703296703297,0.02197802197802198,0.01098901098901099,0.016483516483516484,0.005494505494505495,0.0,0.01098901098901099,0.005494505494505495,0.9573980624791921,-0.4950515683499594,1
6,Bill Spooner,3,114,1324,593,354,88,34,58,56,17,19,16,27,11,14,15,4,1,1,2,2,4,1,2,1,1,1,1,1,0,0,0,3,2,105.0,9.0,-1.3429872540494352,-1.5826244063605528,-1.939940990213663,-0.043614516632978634,-1.0873291021106055,1.5464939809165095,1.1131729630246616,-1.2775834517046227,-0.4359427023004888,-0.012541253960139248,1.494597467243216,-0.1899498081911118,0.2976958872251957,0.6315059162223224,0.06718410582489286,-0.9472295834511371,-0.5640727897769671,0.553945441574248,0.6891344767687031,3.290666596364028,0.38462230350648324,2.0040278850323046,2.761042327470854,11.614035087719298,5.201754385964913,3.1052631578947367,0.7719298245614035,0.2982456140350877,0.5087719298245614,0.49122807017543857,0.14912280701754385,0.16666666666666666,0.14035087719298245,0.23684210526315788,0.09649122807017543,0.12280701754385964,0.13157894736842105,0.03508771929824561,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.008771929824561403,0.017543859649122806,0.03508771929824561,1.6293928219284433,-1.4789220183065133,0
7,Brandon Adair,3,86,919,467,313,37,38,21,5,15,7,6,0,1,3,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,86.0,0.0,-1.9682913905930157,-1.2262531714384537,-1.1353246701605129,-1.6339220501148102,0.6002582100134877,-1.4591291351976214,-1.3356417018848845,-0.9292161887315676,-1.2311503700142263,-1.2985212068449945,-1.3991549670187562,-1.2004088487517854,-1.5066804344563058,-1.3866227639976907,-0.3506884731415528,-1.3512947251595746,-0.9229316841551662,2.4218611522651177,-0.6921830684635563,-0.8611481709855304,0.7828046809301494,-0.7685073747299496,-0.8936194566915441,10.686046511627907,5.430232558139535,3.63953488372093,0.43023255813953487,0.4418604651162791,0.2441860465116279,0.05813953488372093,0.1744186046511628,0.08139534883720931,0.06976744186046512,0.0,0.011627906976744186,0.03488372093023256,0.0,0.023255813953488372,0.0,0.0,0.03488372093023256,0.0,0.0,0.011627906976744186,0.0,0.0,-5.095812802433444,-1.4680541097199866,2
8,Brent Barnaky,4,249,3266,1548,997,170,93,117,86,53,35,27,26,25,31,27,9,6,1,3,5,2,0,2,0,1,2,0,0,0,0,0,4,3,245.0,4.0,-0.3306082192835457,0.0007089154052717249,-0.586413896793128,-0.45875885042274717,-0.20310174128107328,1.1046868431343242,0.2885121215481626,-0.39992947175627996,-0.6793825085721095,-0.5940488682843514,-0.12337299243114867,-0.14338932587148617,0.33239834185066386,0.2765097869306094,0.1045096581629842,-0.24133264914121608,-0.7586348409458703,-0.03806866602387871,0.8888430375251745,0.08926725768485032,-0.8383664271519197,0.5008461176913234,0.3612945294365084,13.116465863453815,6.216867469879518,4.004016064257028,0.6827309236947792,0.37349397590361444,0.46987951807228917,0.3453815261044177,0.21285140562248997,0.14056224899598393,0.10843373493975904,0.10441767068273092,0.10040160642570281,0.12449799196787148,0.10843373493975904,0.03614457831325301,0.024096385542168676,0.004016064257028112,0.012048192771084338,0.020080321285140562,0.008032128514056224,0.0,0.008032128514056224,0.012048192771084338,-1.0572363796115023,-0.3278201200819963,1
9,Brett Nansel,4,157,2251,1224,656,86,76,49,38,27,15,14,10,9,13,22,4,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,157.0,0.0,0.4922116962595101,2.464055681361987,-0.32387509048907653,-1.086882867031882,1.0963289954335782,-0.6876235311030697,-0.29582246897834075,-0.9628754666056338,-1.0992297001821558,-0.9449844332287354,-0.6209342132894219,-0.6563000479574699,-0.5232824063585315,0.7626200088226035,-0.2722169038429999,-0.7644994875192959,-0.14121358302558593,-0.6498069085150348,-0.6921830684635563,-0.10747478965137489,-0.8383664271519197,-0.7685073747299496,-0.23019359141365642,14.337579617834395,7.796178343949045,4.178343949044586,0.5477707006369427,0.4840764331210191,0.31210191082802546,0.24203821656050956,0.17197452229299362,0.09554140127388536,0.08917197452229299,0.06369426751592357,0.05732484076433121,0.08280254777070063,0.14012738853503184,0.025477707006369428,0.012738853503184714,0.01910828025477707,0.006369426751592357,0.0,0.006369426751592357,0.0,0.0,0.006369426751592357,-1.5303142844019215,1.4672983903431518,1
10,Brian Forte,4,260,3471,1598,1125,153,76,100,67,55,95,22,46,41,40,26,7,9,4,1,2,0,2,1,0,1,0,0,0,0,0,0,4,4,247.0,13.0,-0.17324651746009426,-0.10958740381455316,-0.10011406153807272,-0.8975019374921991,-1.157104346746505,0.13610965645799564,-0.20730946342496842,-0.4180110022782418,1.4172248170393928,-1.0280022581078556,0.7625028343017258,0.5387652998138223,0.9346861360715302,0.14715503296951943,-0.22117014196853105,0.24320848788987504,-0.29354839247647846,-0.9216234487986571,-0.08652845247710403,-0.8611481709855304,0.23410061357929532,-0.16068233701283993,-0.493012299581435,13.35,6.1461538461538465,4.326923076923077,0.5884615384615385,0.2923076923076923,0.38461538461538464,0.25769230769230766,0.21153846153846154,0.36538461538461536,0.08461538461538462,0.17692307692307693,0.1576923076923077,0.15384615384615385,0.1,0.026923076923076925,0.03461538461538462,0.015384615384615385,0.0038461538461538464,0.007692307692307693,0.0,0.007692307692307693,0.0038461538461538464,0.0038461538461538464,0.2957517119044869,1.0190061145025198,1
11,C.J. Washington,4,162,2361,1117,714,160,69,55,50,37,49,16,22,28,13,14,4,1,1,2,1,3,3,1,0,1,0,0,0,0,0,0,4,0,162.0,0.0,0.6515681426278032,1.0585295515032476,0.02109580730928399,0.9603978812879336,0.4130148576739615,-0.37631862567719315,0.0807754962637173,-0.18586621063135744,0.8304991388732418,-0.7701984644801824,0.2600885412411949,0.7191214707321082,-0.5757295506051642,-0.06113577896429935,-0.2999887349527759,-1.0669525884017852,-0.6704013510742113,-0.006022318319136947,-0.2061639321781317,1.330087400671181,1.7434986709047087,0.20701429074195468,-0.25066969836667774,14.574074074074074,6.895061728395062,4.407407407407407,0.9876543209876543,0.42592592592592593,0.3395061728395062,0.30864197530864196,0.22839506172839505,0.30246913580246915,0.09876543209876543,0.13580246913580246,0.1728395061728395,0.08024691358024691,0.08641975308641975,0.024691358024691357,0.006172839506172839,0.006172839506172839,0.012345679012345678,0.006172839506172839,0.018518518518518517,0.018518518518518517,0.006172839506172839,0.006172839506172839,1.5238756183041215,-1.2965191262789542,1
